municipality,site_id,label,latitude,longitude,observed_count,observed_unit,observation_period,source,source_url
Toronto,41055,Westview Blvd / Gardens Cres (South),43.7077449311735,-79.3097161471516,13.12,average pedestrians/hour during count,Latest 8-hour count on 2020-10-01; derived from 105 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,39833,Westview Blvd / Joanith Dr,43.706823270643,-79.310294032592,5.62,average pedestrians/hour during count,Latest 8-hour count on 2020-07-09; derived from 45 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,39907,Westview Blvd / Selwyn Ave / Topham Park Trl,43.7104507226593,-79.3075826089024,17.5,average pedestrians/hour during count,Latest 8-hour count on 2020-07-14; derived from 140 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,29911,Westview Blvd / Tiago Ave,43.7111249193637,-79.307044529491,23.38,average pedestrians/hour during count,Latest 8-hour count on 2013-06-04; derived from 187 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,38585,Westwood Ave / Burley Ave (West),43.6851665342741,-79.3550828231161,39.25,average pedestrians/hour during count,Latest 8-hour count on 2019-04-02; derived from 314 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,43137,Westwood Ave / Carlaw Ave,43.6861742081689,-79.3502263724952,74.75,average pedestrians/hour during count,Latest 8-hour count on 2021-10-27; derived from 598 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,9864,Westwood Ave / Donlands Ave,43.6883086671634,-79.340523149556,22.88,average pedestrians/hour during count,Latest 8-hour count on 2002-01-23; derived from 183 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,43135,Westwood Ave / Logan Ave,43.6857686644125,-79.3522537213186,65.25,average pedestrians/hour during count,Latest 8-hour count on 2021-10-27; derived from 522 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,7606,Westwood Ave / Woodycrest Ave,43.6873621668896,-79.3446840406665,20.75,average pedestrians/hour during count,Latest 8-hour count on 1999-11-23; derived from 166 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,20237,Wexford Blvd / Sherwood Ave,43.740822303747,-79.3000890918443,14.0,average pedestrians/hour during count,Latest 8-hour count on 2007-06-07; derived from 112 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,43313,Wheatfield Rd / Hillside Ave,43.6109801060056,-79.4921761085977,41.0,average pedestrians/hour during count,Latest 8-hour count on 2021-12-01; derived from 328 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,43325,Wheatfield Rd / Mimico Ave,43.613038596455,-79.4930140483992,43.88,average pedestrians/hour during count,Latest 8-hour count on 2021-12-02; derived from 351 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
